Fördernehmer_in,eindeutige Nummer des Digitalisats,Analogfilm,3D,Sonstige,Ressourcenadresse,Titel des Digitalisats,Kommentar (optional),Kontextadresse,Kommentar (optional)
Franziskanerkloster Graz,A-Gf_A63_51-000r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23AA-5@format=tif,A-Gf_A63_51-000r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-000r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-000r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-000v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23AB-4@format=tif,A-Gf_A63_51-000v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-000v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-000v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-001r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23AC-3@format=tif,A-Gf_A63_51-001r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-001r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-001r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-001v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23AD-2@format=tif,A-Gf_A63_51-001v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-001v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-001v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-002r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23AE-1@format=tif,A-Gf_A63_51-002r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-002r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-002r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-002v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23AF-0@format=tif,A-Gf_A63_51-002v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-002v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-002v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-003r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23B0-D@format=tif,A-Gf_A63_51-003r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-003r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-003r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-003v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23B1-C@format=tif,A-Gf_A63_51-003v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-003v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-003v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-004r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23B2-B@format=tif,A-Gf_A63_51-004r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-004r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-004r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-004v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23B3-A@format=tif,A-Gf_A63_51-004v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-004v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-004v.tif,
