Fördernehmer_in,eindeutige Nummer des Digitalisats,Analogfilm,3D,Sonstige,Ressourcenadresse,Titel des Digitalisats,Kontextadresse,Kommentar (optional)
Franziskanerkloster Graz,A-Gf_A63_51-000v_D,,,X,https://hdl.handle.net/21.11115/0000-0013-9112-2,A-Gf_A63_51-000v (derivative),https://hdl.handle.net/21.11115/0000-0013-9111-3,
Franziskanerkloster Graz,A-Gf_A63_51-001r_D,,,X,https://hdl.handle.net/21.11115/0000-0013-9114-0,A-Gf_A63_51-001r (derivative),https://hdl.handle.net/21.11115/0000-0013-9113-1,
Franziskanerkloster Graz,A-Gf_A63_51-001v_D,,,X,https://hdl.handle.net/21.11115/0000-0013-9116-E,A-Gf_A63_51-001v (derivative),https://hdl.handle.net/21.11115/0000-0013-9115-F,
Franziskanerkloster Graz,A-Gf_A63_51-002r_D,,,X,https://hdl.handle.net/21.11115/0000-0013-9118-C,A-Gf_A63_51-002r (derivative),https://hdl.handle.net/21.11115/0000-0013-9117-D,
Franziskanerkloster Graz,A-Gf_A63_51-002v_D,,,X,https://hdl.handle.net/21.11115/0000-0013-911A-A,A-Gf_A63_51-002v (derivative),https://hdl.handle.net/21.11115/0000-0013-9119-B,
Franziskanerkloster Graz,A-Gf_A63_51-003r_D,,,X,https://hdl.handle.net/21.11115/0000-0013-911C-8,A-Gf_A63_51-003r (derivative),https://hdl.handle.net/21.11115/0000-0013-911B-9,
Franziskanerkloster Graz,A-Gf_A63_51-003v_D,,,X,https://hdl.handle.net/21.11115/0000-0013-911E-6,A-Gf_A63_51-003v (derivative),https://hdl.handle.net/21.11115/0000-0013-911D-7,
Franziskanerkloster Graz,A-Gf_A63_51-004r_D,,,X,https://hdl.handle.net/21.11115/0000-0013-9120-2,A-Gf_A63_51-004r (derivative),https://hdl.handle.net/21.11115/0000-0013-911F-5,
Franziskanerkloster Graz,A-Gf_A63_51-004v_D,,,X,https://hdl.handle.net/21.11115/0000-0013-9122-0,A-Gf_A63_51-004v (derivative),https://hdl.handle.net/21.11115/0000-0013-9121-1,
Franziskanerkloster Graz,A-Gf_A63_51-005r_D,,,X,https://hdl.handle.net/21.11115/0000-0013-9124-E,A-Gf_A63_51-005r (derivative),https://hdl.handle.net/21.11115/0000-0013-9123-F,
Franziskanerkloster Graz,A-Gf_A63_51-005v_D,,,X,https://hdl.handle.net/21.11115/0000-0013-9126-C,A-Gf_A63_51-005v (derivative),https://hdl.handle.net/21.11115/0000-0013-9125-D,
Franziskanerkloster Graz,A-Gf_A63_51-006r_D,,,X,https://hdl.handle.net/21.11115/0000-0013-9128-A,A-Gf_A63_51-006r (derivative),https://hdl.handle.net/21.11115/0000-0013-9127-B,
Franziskanerkloster Graz,A-Gf_A63_51-006v_D,,,X,https://hdl.handle.net/21.11115/0000-0013-912A-8,A-Gf_A63_51-006v (derivative),https://hdl.handle.net/21.11115/0000-0013-9129-9,
