Fördernehmer_in,eindeutige Nummer des Digitalisats,Analogfilm,3D,Sonstige,Ressourcenadresse,Titel des Digitalisats,Kommentar (optional),Kontextadresse
Franziskanerkloster Graz,,,,,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-000r.tif,,,https://hdl.handle.net/21.11115/0000-0012-23AA-5
Franziskanerkloster Graz,,,,,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-000v.tif,,,https://hdl.handle.net/21.11115/0000-0012-23AB-4
Franziskanerkloster Graz,,,,,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-001r.tif,,,https://hdl.handle.net/21.11115/0000-0012-23AC-3
Franziskanerkloster Graz,,,,,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-001v.tif,,,https://hdl.handle.net/21.11115/0000-0012-23AD-2
Franziskanerkloster Graz,,,,,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-002r.tif,,,https://hdl.handle.net/21.11115/0000-0012-23AE-1
Franziskanerkloster Graz,,,,,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-002v.tif,,,https://hdl.handle.net/21.11115/0000-0012-23AF-0
Franziskanerkloster Graz,,,,,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-003r.tif,,,https://hdl.handle.net/21.11115/0000-0012-23B0-D
Franziskanerkloster Graz,,,,,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-003v.tif,,,https://hdl.handle.net/21.11115/0000-0012-23B1-C
Franziskanerkloster Graz,,,,,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-004r.tif,,,https://hdl.handle.net/21.11115/0000-0012-23B2-B
Franziskanerkloster Graz,,,,,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-004v.tif,,,https://hdl.handle.net/21.11115/0000-0012-23B3-A
